Time,Username,,Tweet,Label,Public_Place
2023-02-11 23:55:54+00:00,DrDuffWatkins,,"Don't let anyone tell you the GOLDEN age of air TRAVEL is over. Just turn left when entering the plane. In relative terms, cost of a BUSINESS-class ticket now is same as STANDARD fare back then. Exclusive, yet AFFORDABLE. (Groundwater) #SMH #travel #airline 
#business #airtravel https://t.co/ameA0QNZnd",1,hospital
2023-02-11 23:40:50+00:00,D_Fewster,,"📍Lignum Club at Nassau Lynden Pindling International Airport.

Simple but effective. You get 2x redeemable tickets 🎫 per guest for alcoholic drinks. Decor is island themed and food is also on offer.
#travelling #lounge #airpprtlounge #airport #Bahamas https://t.co/rwOc1ulker",1,hospital
2023-02-11 23:33:26+00:00,WeeklyHumorist,,CARTOON: Battered Baggage ~ by Vaughan Tomlinson  Safe Travels! Hope all is shell. Today's #cartoon by Vaughan Tomlinson. https://t.co/O2XjttWbI0 #airport,1,hospital
2023-02-11 23:30:02+00:00,PalUpNow1,,"#PalUpNow! #Flights✈️ connects anxious Flyers with Flight Pals, who are on that #flight, and can assist with:
a. #anxietyrelief🌸
b. baggage
c. #security
d. paperwork for #immigration &amp; customs
e. #language barriers

#MentalHealthMatters #Airport #airlines
https://t.co/uVSkKOkAGH",1,hospital
2023-02-11 23:13:03+00:00,worldwidemythos,,"🌅🕊️Myth of the fall of Icarus🕊️🌅

#greekmythology #mythologia #mythos #greece🇬🇷 #daedalus #icarus #wings #sky #fly #sun #nolimits #curious #greekfolklore #greekposts #greekmyths #greekculture #greekislands #artgallery #ikaria #artistic #arte #conceptart

https://t.co/cwyCI2czah https://t.co/KkitKtFOk9",1,hospital
2023-02-11 23:12:43+00:00,MagazinesGlobal,,"EVENT MARCH 2023 - STAY TUNED
Passenger Terminal EXPO &amp; CONFERENCE
@PTExpo
Passenger Terminal EXPO &amp; CONFERENCE is the world’s leading international #airport exhibition &amp; conference - in Amsterdam, March 14, 15, 16, 2023. #PTExpoConf https://t.co/LGktUxP2oh",1,hospital
2023-02-11 23:04:50+00:00,AmitSingalca,,"Had a great experience today at #Bengaluru #Airport because of the smooth process of entry, security check &amp; boarding using #DigiYatra .

Thanks, @Ministry_CA @JM_Scindia, for such a wonderful app.",1,hospital
2023-02-11 23:00:36+00:00,mikeallenmusic,,"California bound on Ocean's first ever flight!

#oceanpearl #airtravel #southwest #adventuresofthemagliulos https://t.co/qqX5ZNyQQn",1,hospital
2023-02-11 22:34:39+00:00,humansbgone,,"See today's update on Tumblr! https://t.co/vS5b4A8uXX
#fly #housefly #art https://t.co/2ijFwObGVA",1,hospital
2023-02-11 22:30:24+00:00,AirportArtwork,,"Airport scene inspired by the movie 'The Matrix'
#Airport   #travel #airportartwork #art #generated #ai #generatedart #styletransfer #disruption https://t.co/jmmDexWFNY",1,hospital
