Time,Username,Tweet,Label,Public_Place
2023-02-11 23:59:54+00:00,hgm_india,"Voice of the Living God...

Keep away from profane and foolish discussions, which only drive people further away from God.

2 Timothy 2:16

#Todayspromise #Bible #Jesuschrist #Devotional #God #Jesus #Holyspirit #Telugu #English #Tamil #Hindi #Malayalam #Kannada https://t.co/CYqklk2bnd",3,chruch
2023-02-11 23:59:45+00:00,hgm_india,"Voice of the Living God...

Keep away from profane and foolish discussions, which only drive people further away from God.

2 Timothy 2:16

#Todayspromise #Bible #Jesuschrist #Devotional #God #Jesus #Holyspirit #Telugu #English #Tamil #Hindi #Malayalam #Kannada https://t.co/wEjUPJOAVe",3,chruch
2023-02-11 23:59:38+00:00,hgm_india,"Voice of the Living God...

Keep away from profane and foolish discussions, which only drive people further away from God.

2 Timothy 2:16

#Todayspromise #Bible #Jesuschrist #Devotional #God #Jesus #Holyspirit #Telugu #English #Tamil #Hindi #Malayalam #Kannada https://t.co/bsR1cpkVQt",3,chruch
2023-02-11 23:59:25+00:00,hgm_india,"Voice of the Living God...

Keep away from profane and foolish discussions, which only drive people further away from God.

2 Timothy 2:16

#Todayspromise #Bible #Jesuschrist #Devotional #God #Jesus #Holyspirit #Telugu #English #Tamil #Hindi #Malayalam #Kannada https://t.co/rHbSzQ3N4U",3,chruch
2023-02-11 23:59:18+00:00,hgm_india,"Voice of the Living God...

Keep away from profane and foolish discussions, which only drive people further away from God.

2 Timothy 2:16

#Todayspromise #Bible #Jesuschrist #Devotional #God #Jesus #Holyspirit #Telugu #English #Tamil #Hindi #Malayalam #Kannada https://t.co/zMHT2rzWAi",3,chruch
2023-02-11 23:59:10+00:00,hgm_india,"Voice of the Living God...

Keep away from profane and foolish discussions, which only drive people further away from God.

2 Timothy 2:16

#Todayspromise #Bible #Jesuschrist #Devotional #God #Jesus #Holyspirit #Telugu #English #Tamil #Hindi #Malayalam #Kannada https://t.co/zrPezoIa21",3,chruch
2023-02-11 23:58:52+00:00,hgm_india,"Voice of the Living God...

Keep away from profane and foolish discussions, which only drive people further away from God.

2 Timothy 2:16

#Todayspromise #Bible #Jesuschrist #Devotional #God #Jesus #Holyspirit #Telugu #English #Tamil #Hindi #Malayalam #Kannada",3,chruch
2023-02-11 23:56:14+00:00,letterstoesme,"when God stands up from his throne, and command his chariot the whole world foundation will shake  This is the first time he’s been angry.

  he told me to tell you this

  you MIGHT want to put on your seatbelt

  #jesus #god #Judgement #whitethrone #anger #mercy #faith 
 #bible",3,chruch
2023-02-11 23:55:11+00:00,adao01ribeiro,"Social media distribution system - advanced.

🆓Automation template ↓
👉https://t.co/bZkzy7ZORt

#vasanthamullai #cybersecurity #jesus #seventeen #womenscienceday #yps #arsenal #bbtitans #hooe #yafantasy #ffhil127 #cfc #sweepstake #logodesign #dollphotography #roseanne https://t.co/tvq7vF4PGa",3,chruch
2023-02-11 23:54:21+00:00,RENEWIntl,Our lady of Lourdes #prayforus #lourdes #ourlady #blessedvirginmary #faith #love #mary #jesus #unity https://t.co/Q37vVTHEnI,3,chruch
