Time,Username,Tweet,Label,Public_Place
2023-02-11 23:52:59+00:00,purplemamabear,@RyanMarino @hrhgypsy Ok so where do these reports come from? They have to come for #LawEnforcement or #Hospital. Why does hospital not correct misinformation? Or are they unable?,2,hospital
2023-02-11 23:45:11+00:00,IndieBkButler,"""Reilly spins a compelling tale of a devoted husband's resilience and perseverance as he pursues a life-saving mission that extends from Ancient Rome to modern-day America to the olive orchards of Spain."" https://t.co/CRXFpmI0D4 #fiction #medical #suspense @tmreilly121212",2,hospital
2023-02-11 23:41:08+00:00,PhyllisKaskey,"Help Syria too! If the Syria government is blocking the help, use the non profits and send it to them @POTUS #Syria #Help #TheView
#Assistance #Medical #ABCNews #Americanredcross #Care
#Nonprofits",2,hospital
2023-02-11 23:41:01+00:00,chrisoldcorn,GOIN’ BATTY: Nurses capture winged creature in a Sask hospital ICU - #news #canada #Sask #saskatchewan #sk #politics #government #cdnpoli #cdnpolitics #saskpoli #skpoli #healthcare #hospital #nurses https://t.co/b9twLOt6sJ,2,hospital
2023-02-11 23:40:13+00:00,SomersetLog,[23-11349/1640] Reason: #MEDICAL #EMERGENCY | Location: [JAC] HEALD STREAM RD | #EMS Unit: Upper Kenn Valley Unit 1,2,hospital
2023-02-11 23:25:24+00:00,Mahmoud93814475,Clinic reception employee able to admit patient to the clinic. #visitclinic #clinic #pharmacy #medical #health #admission https://t.co/ijuJCE4j9j,2,hospital
2023-02-11 23:25:15+00:00,SomersetLog,[23-11369/1757] Reason: #MEDICAL #EMERGENCY | Location: [FAI] MAIN ST | #EMS Unit: Delta 1,2,hospital
2023-02-11 23:25:15+00:00,SomersetLog,[23-11369/1757] Reason: #MEDICAL #EMERGENCY | Location: [FAI] MAIN ST | #EMS Unit: Fairfield Med One,2,hospital
2023-02-11 23:24:43+00:00,charlesgellman,"Non optimized medication therapy was $528.4 billion, equivalent to 16% of total US health care expenditures in 2016.  #venturecapital #startup #Medical",2,hospital
2023-02-11 23:24:28+00:00,BusterJustis,Vintage #doctor hand puppet. In excellent condition. Sweet face! https://t.co/X4EETnZV59 #MD #etsy #medical #vintagetoy #puppet #playtime #premed #doctor #etsyshop,2,hospital
2023-02-11 23:23:58+00:00,charlesgellman,Spending on Hospital Care (31 percent share) or $1.3 trillion and Retail prescription drugs (9 percent share) or $378 billion in 2021. #venturecapital #startup #hospital #patients,2,hospital
2023-02-11 23:23:23+00:00,TheNextTech2018,Best #Mobile #Medical #Billing App for #Hospital and Facility #Physicians https://t.co/r0z3rFIVnY #application #bestmobilemedicalbillingapp #bestmobilemedicalbillingappforhospital #billingapp #facilityphysicians #hospitalandfacilityphysicians #mobilemedicalbillingapp #tnt2022,2,hospital
2023-02-11 23:23:23+00:00,Mahmoud93814475,"Clinic reception employee able to admit patient to the clinic. #visitclinic #clinic #pharmacy #medical #health #admission
https://t.co/3fiwIarPVu",2,hospital
2023-02-11 23:23:21+00:00,charlesgellman,National health spending was $4.3 trillion in 2021 or 19.7 percent of GDP. #venturecapital #startup #medical #HomeCare,2,hospital
2023-02-11 23:23:05+00:00,IanCPIrvine4,Read 1st #thriller to explore #medical #mystery of #Cellular Memory Phenomena 'Haunted from Within' https://t.co/dcmRj4fpIb #goodbook,2,hospital
2023-02-11 23:18:42+00:00,dnjokerdotcom,"Domain name https://t.co/yTOKAmnelL is for sale..

#Domains #domain #DomainNameForSale #domainforsale #domainname #domainnames #domainers #AI #IoT #GPT3 #ChatGPT #Chatbots #NFT #Web3 #blockchain #Crypto #Metaverse #meta #aiart #aimedicare #Medicare #ChatGPTPlus #Medical https://t.co/v0mpfzWAEK",2,hospital
2023-02-11 23:11:33+00:00,GrabovacGroup,"Maren Jeleff is the #brain of our group, making sure we are all on track and that our methodological reasoning is always sound. A trained #medical #anthropologist, soon with a #PhD focusing on #AMR 🦠, Maren is currently honing her skills as the @CANCERLESS #project #manager. https://t.co/FzRDJ56fSE",2,hospital
2023-02-11 23:11:15+00:00,IanCPIrvine4,"Scary! New #paranormal #mystery &amp; #detective #medical #thriller!
Haunted From Within. https://t.co/dcmRj4fpIb . #goodread #goodbook #dan",2,hospital
2023-02-11 23:10:17+00:00,SomersetLog,[23-11369/1757] Reason: #MEDICAL #EMERGENCY | Location: [FAI] MAIN ST,2,hospital
2023-02-11 23:10:16+00:00,SomersetLog,[23-11367/1753] Reason: #MEDICAL #EMERGENCY | Location: [HAR] FOX HILL RD,2,hospital
2023-02-11 23:09:03+00:00,Covenant_Jobs,"Can you recommend anyone for this job in Saginaw, MI? https://t.co/9on2z7PdK7 #Medical",2,hospital
2023-02-11 23:00:10+00:00,videolib_store,"Doctor Shakes Hands With a Patient
https://t.co/rMf4msqcbl

#adult #doctor #fancystudio #handshake #health #hospital #medical #medicine #occupation #patient #people #professional #stethoscope #stockfootage #top #videohive #view #woman",2,hospital
2023-02-11 23:00:06+00:00,MarchingTruth2,"""all #lies, plain and simple"" - how #Emory #University (#Atlanta, #Georgia) agents ""defend"" their #conspiracy in #court. for leisure or serious.

https://t.co/UwmqIcqf46

#news  #justice #juror  #medical #school #truth #EmoryUniversity #USA #people #american https://t.co/ePbUJdpR7I",2,hospital
2023-02-11 22:55:15+00:00,SomersetLog,[23-11360/1718] Reason: #MEDICAL #EMERGENCY | Location: [HAR] FOX HILL RD | #EMS Unit: EMS Unit 3,2,hospital
2023-02-11 22:51:21+00:00,CherylIlov,"Stand by for Episode #216 with Scott Schara, who shares his heartbreaking story of losing his beautiful 19 year old special needs daughter to medical malfeasance. You do not want to miss his powerful story! 
#medical #malpractice #hospital #medicalpersonnel #downsyndrome https://t.co/YD0Azp5L2O",2,hospital
2023-02-11 22:48:40+00:00,hayatghy,"Everyone has equal rights to make informed decisions about their sexual and reproductive health. On this day, let’s spread awareness amongst the public on this topic to build a more inclusive and safe society.

#hayathospital #health #sexualhealth #awareness #hospital #treatment https://t.co/KhNpUOjZ1h",2,hospital
2023-02-11 22:40:14+00:00,SomersetLog,[23-11360/1718] Reason: #MEDICAL #EMERGENCY | Location: [HAR] FOX HILL RD | #EMS Unit: Harmony Rescue,2,hospital
2023-02-11 22:34:04+00:00,LevaDuell,How to Get Medical Billing &amp; Coding Jobs from Home #medicalcoding #medicalbilling #medical #careers #jobs #workfromhome #wahm #Moms https://t.co/sfLbvJGlsg https://t.co/7ynxSXG1Lf,2,hospital
2023-02-11 22:30:12+00:00,MarchingTruth2,"""honest error"" #EmoryUniversity (#Atlanta, #Georgia)  MD or more fittingly, fraudulent #researcher, #fabricator, #backstabber, #liar,etc...

https://t.co/UwmqIcqf46

#news #truth #schoolofmedicine #Emory #conspiracy #medical #university #neurology #surgeon https://t.co/bk73RRt0bn",2,hospital
2023-02-11 22:29:21+00:00,iamahsmughal,"Technology, Science and Health: The Importance of Health Insurance: Understanding ... https://t.co/WEqEqgnLyp 

#Comprehensivehealthcare #Costofcare #Coverageoptions #Healthinsurance #Medicalexpenses #doctor #medicine #hospital #disease #insurance #bills #pharmacy",2,hospital
2023-02-11 22:25:13+00:00,SomersetLog,[23-11359/1714] Reason: #MEDICAL #EMERGENCY | Location: [PIT] MADAWASKA AVE,2,hospital
2023-02-11 22:20:11+00:00,jeffsheehan,"Dr. Darria Long Gillespie   Media Commentator | Speaker | Author 

 https://t.co/Zmcc06JxAL 

 #Medical #TVCommentator #Speaker    #CNN #YouTube #SupportiveSaturday #GetTractionForOthers  #JeffS
  
@DrDarria",2,hospital
2023-02-11 22:15:21+00:00,IanCPIrvine4,Read 1st #thriller to explore #medical #mystery of #Cellular Memory Phenomena 'Haunted from Within' https://t.co/dcmRj4fpIb #goodread,2,hospital
2023-02-11 22:14:53+00:00,Mahmoud93814475,"visit clinic room (visit schedule, round schedule, round list). #visitclinic #pharmacy #clinic #medical #surgery #admission https://t.co/sTJAFy6Wc6",2,hospital
2023-02-11 22:12:35+00:00,Mahmoud93814475,"visit clinic room (visit schedule, round schedule, round list). #visitclinic #pharmacy #clinic #medical #surgery #admission https://t.co/Lzez0sa5lc",2,hospital
2023-02-11 22:11:01+00:00,CyrilCoste,"Why digital transformation is inevitable in the #healthcare industry?

✅ Make the #hospital experience more convenient and efficient for patients
✅ Improving care quality and outcomes

https://t.co/WgBU44nNYK

#DigitalTransformation #HealhTech #BigData #DataScience https://t.co/diysaIN80m",2,hospital
2023-02-11 22:10:12+00:00,SomersetLog,[23-11349/1640] Reason: #MEDICAL #EMERGENCY | Location: [JAC] HEALD STREAM RD | #EMS Unit: Jackman Ambulance,2,hospital
2023-02-11 21:55:15+00:00,SomersetLog,[23-11349/1640] Reason: #MEDICAL #EMERGENCY | Location: [JAC] HEALD STREAM RD,2,hospital
2023-02-11 21:43:02+00:00,sailorbill1,#Medical #Journalist Speaks Out Against Mainstream Media - #BBCBeyondReform https://t.co/3IiQW7OOQ4 via @YouTube,2,hospital
2023-02-11 21:38:21+00:00,StormyVNV,Here’s a strain you should see on Leafly https://t.co/gs53KB88ke #Leafly #BlackberryStrain #Hybrid #Medical #Leisure #ChronicPain #Relaxed #VeteransForCannabis #Free2Choose,2,hospital
2023-02-11 21:28:57+00:00,JabberAhmed1,"#Somaliland attacks in #Laascaanood health care facilities are rising daily.  #gargaar #hospital #Sool #Warcrime #BlueRevolution 

#SSCGENOCIDE #Laascaanood
  
@UNHumanRights 
@amnesty @AmnestyEARO 
@_AfricanUnion 
@TheVillaSomalia 
@SwedeninSomalia https://t.co/CkZq2IQp1R",2,hospital
2023-02-11 21:27:47+00:00,mediquest,"#MediQuestStaffing is looking for a #Medical #Assistant, apply now! (#SunCity) #job https://t.co/wQ7pV6qK5S #jobs #employment #healthcare #job #hiring #mediqueststaffing #jobsearch https://t.co/JYfkfudmvJ",2,hospital
2023-02-11 21:24:48+00:00,StormyVNV,"Is Zkittlez Indica or Sativa? Zkittlez is an Indica-dominant hybrid strain with a 70% Indica and 30% Sativa ratio. Moreover, the Skittles strain has won several Cannabis Cups #Zkittlez #Hybrid #CannabisStrain #Medical #Leisure #Pain #ChronicPain #VeteransForCannabis #Freedom",2,hospital
2023-02-11 21:20:13+00:00,BanamanNews,#Medical #Journalist Speaks Out Against Mainstream Media - #BBCBeyondReform Recorded 11 February 2023 https://t.co/Ztvo1v5FAL,2,hospital
2023-02-11 21:17:01+00:00,trading_indian,"I guess 2020 changed every field but none more than medical field

Everyone needs to start learning about medicines... 

... and take their health in their own hands

#Medical #medicine https://t.co/oXc43rFQeC",2,hospital
2023-02-11 21:09:18+00:00,IanCPIrvine4,"Scary! New #paranormal #mystery &amp; #detective #medical #thriller!
Haunted From Within. https://t.co/dcmRj4fpIb . #happy #bookclubs #cry",2,hospital
2023-02-11 21:03:48+00:00,hempnewsonline,1st Authorized https://t.co/TDKuYrTmtX #bill #buds #cannabis #cash #dispensaries #dispensary #early #hybrid #legal #legislation #majority #marijuanasales #medical #medicalmarijuana #news #organizations #people #products #relief #states,2,hospital
2023-02-11 21:02:51+00:00,PDJR3,"New Episode (Our Little Light W/ Mrs. De Leon) out now. Link in bio
#newepisode #podcast #notthereyet #light #baby #nicu #story #ourstory #birth #csection #hospital #babies #instagram #family #faith #health https://t.co/YaZN3fHxAg",2,hospital
2023-02-11 21:01:05+00:00,EMCases,"Global Health, on a high level, can be broken down into three steps: acknowledging that there are health inequities, identifying gaps through a needs analysis, and addressing these disparities with solutions. 
https://t.co/0QfBPo7qrJ

#emergencymedicine #medical #cme #health https://t.co/oDO2kFx7eg",2,hospital
2023-02-11 21:00:07+00:00,MarchingTruth2,"""all #lies, plain and simple"" - how #Emory #University (#Atlanta, #Georgia) agents ""defend"" their #conspiracy in #court. for leisure or serious.

https://t.co/UwmqIcqf46

#news #justice  #juror #medical #school #truth #EmoryUniversity #USA  #people #american https://t.co/0XlVBuZXCW",2,hospital
2023-02-11 21:00:02+00:00,meldeontech,"#hospital Management system
#M-Care solution
Request demo account https://t.co/WgbUjJ2JHo",2,hospital
2023-02-11 20:56:28+00:00,AskMeCompany,"All you have to do is Ask Me now !!

#askme_company #company #hospital #doctor #consulting https://t.co/CXJvMUW7jJ",2,hospital
2023-02-11 20:56:24+00:00,sylviaweise,#Hospital M&amp;A new player https://t.co/N1dfhiCenB,2,hospital
2023-02-11 20:55:55+00:00,meldeontech,"#hospital Management system
#M-Care solution
Request demo account 
https://t.co/ag9qS7VZbp",2,hospital
2023-02-11 20:55:51+00:00,AskMeCompany,"Everything is in your hands

—————————-
So Ask Me now?? 

#askme_company #company #hospital #doctor #consulting https://t.co/6jK0qWUfrA",2,hospital
2023-02-11 20:52:51+00:00,manLawrance,#Medical #Journalist Speaks Out Against Mainstream Media - #BBCBeyondReform https://t.co/AVZXjyv9iI via @YouTube Please watch this before the video it’s taken down by YouTube,2,hospital
2023-02-11 20:47:57+00:00,RadioIndia1110,"#Joel and #StefanieAckley said after #waiting two hours at the #LangleyMemorialHospital on Jan. 26, #medical officials checked their two-year-old #Gracie’s vitals. #Gracie had a fever of 103. A #nurse gave Gracie a Tylenol to help bring it down. https://t.co/4FzOo6KEz2",2,hospital
2023-02-11 20:45:55+00:00,hollyanngirl63,#Trenton finally has demolition permit in hand for former #Riverside #Hospital https://t.co/v0OqcMdsCK brings back memories last worked here right before it closed. Sadly it turned into a blighted property glad it’s going to be demolished for new things #trenton #Michigan 🙂,2,hospital
2023-02-11 20:37:36+00:00,rmmtenterprises,"We offer Delivery Services in #Calgary  #yyc  for #Prescriptions, #medical supplies as well as #valentines https://t.co/LBRJvhviui",2,hospital
2023-02-11 20:30:02+00:00,MarchingTruth2,"""honest error"" #EmoryUniversity (#Atlanta, #Georgia) MD or more fittingly, fraudulent #researcher, #fabricator, #backstabber, #liar, etc...

https://t.co/UwmqIcqf46

#news #truth #schoolofmedicine #Emory  #conspiracy #medical  #university  #neurology #surgeon https://t.co/Q0q9WTdjxE",2,hospital
2023-02-11 20:25:15+00:00,SomersetLog,[23-11333/1503] Reason: #MEDICAL #EMERGENCY | Location: [CHI] DANFORTH RD,2,hospital
2023-02-11 20:25:09+00:00,JasonCollinsMPA,"@JeffreeStar I need help ASAP. Father of 3 disabled, fixed income. Lost car &amp; missed 2 infusions so far due to not having transportation! I NEED A CAR or help getting one. Anything would help! PLZ 🙏 $JasonECollins #Philanthropy #Generosity #Tesla #medical #Emergency #miracle #sarcoma https://t.co/U5yUEtt4k8",2,hospital
2023-02-11 20:24:04+00:00,LevaDuell,Medical Coding Jobs from Home with Lexicode. Get remote medical coding jobs. #medicalcoding #medical #coding #billing #workfromhome #jobs #wahm #Moms https://t.co/lhzRBvxguG https://t.co/01bjuPXScC,2,hospital
2023-02-11 20:23:27+00:00,JasonCollinsMPA,"@jtimbre I need help ASAP. Father of 3 disabled, fixed income. Lost car &amp; missed 2 infusions so far due to not having transportation! I NEED A CAR or help getting one. Anything would help! PLZ 🙏 $JasonECollins #Philanthropy #Generosity #Tesla #medical #moneymaking #miracle #sarcoma https://t.co/6Cbo2dXM9V",2,hospital
2023-02-11 20:11:52+00:00,Mahmoud93814475,Doctor able to add room to clinic. #visitclinic #clinic #pharmacy #medical #health https://t.co/33ZnJire67,2,hospital
2023-02-11 20:09:23+00:00,CMA_Social,"#Healthcare: #Ohio #abortion #law meant weeks of ‘anguish,’ ‘agony’ 4 #couple whose unborn #child had organs outside her body. Child won't survive at all but also poses danger 4 Beth, the higher the risk of complications.
😪 #Medical care. #RoevsWade. 
https://t.co/loqOURABzx",2,hospital
2023-02-11 20:08:33+00:00,JVandyx79,👁️ 23 ☠️ 2 23s 🤔 The Bride (Body) of SATAN Is in All the 4 not so HIDDEN DYNASTIES 👿 The Harlot Sings 🎶 #entertainment #Finance #Education #Medical 🪖 https://t.co/1cwb75OL4t,2,hospital
2023-02-11 20:07:26+00:00,Mahmoud93814475,"Doctor able to add room to clinic. #visitclinic #clinic #pharmacy #medical #health
https://t.co/E5MquvuD6E",2,hospital
2023-02-11 20:03:04+00:00,TeamCCMH,"Nearly 6.5 million Americans over the age of 20 are experiencing the stages of Heart Failure. Learn how to fight against heart disease! https://t.co/OHvz3clEKf
#CCMHhealth  #CCMH #LawtonOklahoma #Oklahoma #Healthcare #Hospital #Doctors #Nurses",2,hospital
2023-02-11 20:00:42+00:00,MicrobesInfo,"Young individuals are not getting the latest #COVID-19 #coronavirus #booster ... 

| #COVID19 | #vaccine | #vaccination | #Hospital | #Healthcare | #Illness | By @elizcohencnn via @CNN 

https://t.co/ckIhFnuwHq",2,hospital
2023-02-11 19:58:01+00:00,cursortek,"CursorTek is #selling #bulk #data of 3k plus #categories like:

#plumbing #realtor #contractors #HVAC #medical #dentists #hotels #restaurants #lawyers #flooring #roofing #builders #architecture #leads #emails #emailslist #socialmedia #python #php #java

https://t.co/xO23syY7dI https://t.co/EL2Wr38oZs",2,hospital
2023-02-11 19:44:59+00:00,Mahmoud93814475,doctor advanced visit . #visitclinic #clinic #pharmacy #medical #health #prescription https://t.co/mw09o5c7YN,2,hospital
2023-02-11 19:42:36+00:00,Wendoxford,Overheard yesterday - he's got cancer of the sarcophagus. Go directly to final resting place eh? #malapropism #hospital #sarcophagus #coffin,2,hospital
2023-02-11 19:42:04+00:00,Mahmoud93814475,"doctor advanced visit . #visitclinic #clinic #pharmacy #medical #health #prescription 
#https://youtu.be/YIbP6GmFM50",2,hospital
2023-02-11 19:41:01+00:00,DrJiteshKumar2,"#foodpoisoning  cases are increasing because of unhygienic food practice and some common mistakes we do in our daily life 
#Foodie #foodsafety #foodforall #Food #clean #Medical #MBBS #MedEd

https://t.co/VnvnkxuCO3 https://t.co/lc190BqIBk",2,hospital
2023-02-11 19:39:29+00:00,universal_notes,"It’s Day 11 of “14 Days of Board Review Tips!” Todays tip: taking breaks! https://t.co/vlSAUSJurc 
 #medicalstudent #boardstudying #studyingtips #medicalschool #studytips #medtwitter #medical #study #studygram #subscribe #medschooltips #boardprep #7minuteworkout #breaktime https://t.co/X1hobUs8CG",2,hospital
2023-02-11 19:37:37+00:00,Covenant_Jobs,Can you recommend anyone for this job? NEURO TRAUMA- NURSING CARE ASSISTANT - https://t.co/X5Gdc5jNnm #Medical,2,hospital
2023-02-11 19:34:57+00:00,HillaryGreen09,"Thought I was getting discharged today, but my body decided to take a turn for the worse.. thankful it's while I'm still strapped up in the #hospital. 💚 @hughlaurie send assistance please, we need a dry erase board! #HouseMD #Day6andCounting https://t.co/y9h2633dOb",2,hospital
2023-02-11 19:30:12+00:00,MarchingTruth2,"""all #lies, plain and simple"" - how #Emory #University (#Atlanta,  #Georgia) agents ""defend"" their #conspiracy in #court. for leisure or serious.

https://t.co/UwmqIcqf46

#news #justice #juror #medical #school #truth #EmoryUniversity #USA #people #american https://t.co/DeFP4s1BXQ",2,hospital
2023-02-11 19:29:09+00:00,bhfazil,SINA Clinics gets international recognition by attaining certification as Institutional Review Board granted by the US Department of Health &amp; Human Services #healthcare #clinic #hospital #donation #charity #medical,2,hospital
